Track Name,Artist,Artist URI,Artist Popularity,Artist Genres,Track Duration(ms),Release Date,Track Popularity
Pump It Up,Elvis Costello & The Attractions,spotify:artist:4qmHkMxr6pTWh5Zo74odpH,49,"art rock, heartland rock, new romantic, new wave, new wave pop, power pop",196680,1978-01-01,0
Alison Hell,Annihilator,spotify:artist:0L8QRAAuWjqvTM8FpQ1gYO,44,"canadian metal, death metal, metal, old school thrash, speed metal, technical groove metal, thrash metal",301053,1989,50
Kiss Me More (feat. SZA),Doja Cat,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,86,"dance pop, pop",208666,2021-06-25,82
Wildfire,SBTRKT,spotify:artist:1O10apSOoAPjOu6UhUNmeI,47,"chillwave, electronica, future garage, indie soul, indietronica",201000,2011-06-27,0
Steppin' Out,Joe Jackson,spotify:artist:6KOqPxwfNAmZPkiCnDE9yT,50,"mellow gold, new romantic, new wave, new wave pop, permanent wave, singer-songwriter, sophisti-pop",268200,1982-01-01,54
Act Naturally,Buck Owens,spotify:artist:2FMZn5P3WATd7Il6FgPJNu,48,"bakersfield sound, classic country pop, country, country rock, cowboy western, western swing",143693,2010-08-31,1
Heat Waves,Glass Animals,spotify:artist:4yvcSjfu4PC0CYQyLy4wSq,74,"gauze pop, indietronica, modern rock, pov: indie, shiver pop",238805,2020-08-07,89
How Ya Do Dat,Young Bleed,spotify:artist:5GQgxUq4MOuXXV99WrRuev,40,"baton rouge rap, dirty south rap",271066,1998-01-01,52
Army of Me,Björk,spotify:artist:7w29UYBi0qsHi5RTcv3lmA,61,"alternative rock, art pop, electronica, experimental pop, experimental vocal, icelandic experimental, icelandic pop, icelandic singer-songwriter, metropopolis, permanent wave, trip hop",234333,1995-06-13,55
Ghost Division,Sabaton,spotify:artist:3o2dn2O0FCVsWDFSh8qxgG,70,"power metal, swedish metal, swedish power metal",231200,2008,0
"Heads Carolina, Tails California",Jo Dee Messina,spotify:artist:3ltFy7g6KKQPPttsdOMlq3,56,"country, country dawn, country road",209760,1996-04-02,70
Bury Me Alive,We Are The Fallen,spotify:artist:4V0jSDdGGQ2VhYuSOjBUjI,36,"gothic symphonic metal, pixie",286640,2010-01-01,46
Killing In The Name,Rage Against The Machine,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,69,"alternative metal, alternative rock, conscious hip hop, funk metal, hard rock, nu metal, political hip hop, post-grunge, rap metal, rap rock, rock",313573,1992,82
Dynamite,Taio Cruz,spotify:artist:6MF9fzBmfXghAz953czmBC,68,"dance pop, pop, pop rap",203866,2010-01-01,73
Impulse,An Endless Sporadic,spotify:artist:4sfKoex9YB5zZ0HSuBVpeF,25,,265665,2008-07-07,42
Rock & Roll Queen,The Subways,spotify:artist:4BntNFyiN3VGG4hhRRZt9d,43,"dance-punk, garage rock, garage rock revival",169946,2005-07-04,2
Pittsburgh (No Intro),The Amity Affliction,spotify:artist:6kNKUYGn6VNGsRoXmyoDPK,57,"australian metalcore, melodic metalcore, metalcore",239127,2014-06-05,61
Some Cut (feat. Cutty),Trillville,spotify:artist:3jahzTuztFVegfKXChatkY,43,"atl hip hop, crunk, dirty south rap, old school atlanta hip hop",283386,2009-06-16,49
Raining Blood,Slayer,spotify:artist:1IQ2e1buppatiN1bxUVkrk,65,"alternative metal, death metal, groove metal, hard rock, metal, old school thrash, rock, speed metal, thrash metal",254400,1986-01-01,57
Cherry Bomb,The Runaways,spotify:artist:5eTq3PxbOh5vgeRXKNqPyV,50,"early us punk, protopunk, riot grrrl",138706,1976,69
D.A.N.C.E.,Justice,spotify:artist:1gR0gsQYfi6joyO1dlp76N,62,"alternative dance, dance-punk, electronica, filter house, indietronica, neo-synthpop, new rave",209986,2007-06-18,0
Flirtin' with Disaster,Molly Hatchet,spotify:artist:4ZqBwBVB3dsYWL3d5Spi10,44,"album rock, classic rock, country rock, glam metal, hard rock, heartland rock, southern rock",299200,1979,59
Tidal Wave,Longwave,spotify:artist:4X3nZlXBKXf4whx4nFiPnu,17,brooklyn indie,207093,2003-03-13,23
You're So Vain,Carly Simon,spotify:artist:4FtSnMlCVxCswABUmdhwpm,60,"classic rock, folk, folk rock, heartland rock, mellow gold, singer-songwriter, soft rock",258411,1972,78
Drop It Like It's Hot,Snoop Dogg,spotify:artist:7hJcb9fa4alzcOq3EaNPoG,80,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap",266066,2004-01-01,77
Birdhouse in Your Soul,They Might Be Giants,spotify:artist:6zB02lwP6L6ZH32nggQiJT,54,"comic, geek rock, permanent wave, zolo",198920,1990-01-02,58
Blitzkrieg Bop - 2001 Remastered Version,Ramones,spotify:artist:1co4F2pPNH8JjTutZkmgSm,64,"alternative rock, early us punk, permanent wave, punk, rock",133440,1976-04-23,0
Queen,Perfume Genius,spotify:artist:2ueoLVCXQ948OfhVvAy3Nn,47,"art pop, chamber pop, indie rock, indietronica, neo-synthpop, seattle indie",230719,2014-09-22,0
Friday I'm in Love,The Cure,spotify:artist:7bu3H8JO7d0UbMoVzbo70s,74,"new wave, permanent wave, rock, uk post-punk",214400,1992-04-21,70
